rule,learn_noise_sd,stat,seed,ai
quantile,2.5,variance,1,-0.1335978835978836
quantile,2.5,mean,2,0.17318435754189948
quantile,2.5,variance,2,0.11403508771929842
quantile,2.5,mean,3,0.39136125654450304
quantile,2.5,variance,3,0.024999999999999963
quantile,2.5,mean,4,0.2415730337078653
quantile,2.5,variance,4,0.09289617486338796
quantile,2.5,mean,5,0.3265306122448978
quantile,2.5,variance,5,0.08333333333333337
quantile,2.5,mean,6,0.44875
quantile,2.5,variance,6,-0.1732954545454547
quantile,2.5,mean,7,0.3208092485549132
quantile,2.5,variance,7,-0.021794871794871783
quantile,2.5,mean,8,0.5162499999999999
quantile,2.5,variance,8,0.0
quantile,2.5,mean,9,0.3597222222222222
quantile,2.5,variance,9,-0.03835978835978835
quantile,2.5,mean,10,0.35786802030456855
quantile,2.5,variance,10,-0.08000000000000007
quantile,2.5,mean,11,0.6150000000000002
quantile,2.5,variance,11,-0.027777777777777683
quantile,2.5,mean,12,0.40375000000000005
quantile,2.5,variance,12,0.01530612244897972
quantile,2.5,mean,13,0.44500000000000006
quantile,2.5,variance,13,0.10993975903614463
quantile,2.5,mean,14,0.14973958333333312
quantile,2.5,variance,14,-0.25000000000000017
