rule,condition,seed,stat,ai
expectile,noisy_both,26,kurtosis,0.10443037974683549
expectile,noisy_both,27,mean,0.5742857142857142
expectile,noisy_both,27,variance,-0.09429824561403505
expectile,noisy_both,27,kurtosis,-0.12368421052631594
expectile,noisy_both,28,mean,0.42057291666666663
expectile,noisy_both,28,variance,0.05732484076433111
expectile,noisy_both,28,kurtosis,-0.08661417322834639
expectile,noisy_both,29,mean,0.7931937172774867
expectile,noisy_both,29,variance,0.030120481927711017
expectile,noisy_both,29,kurtosis,-0.0721830985915493
quantile,clean,0,mean,0.9075
quantile,clean,0,variance,-0.025773195876288565
quantile,clean,0,kurtosis,0.005291005291005179
quantile,clean,1,mean,0.7437499999999999
quantile,clean,1,variance,0.024358974358974293
quantile,clean,1,kurtosis,-0.07653061224489797
quantile,clean,2,mean,0.6173469387755102
quantile,clean,2,variance,0.40757575757575754
quantile,clean,2,kurtosis,-0.13970588235294107
quantile,clean,3,mean,0.8086734693877553
quantile,clean,3,variance,0.03826530612244907
quantile,clean,3,kurtosis,-0.04967948717948713
quantile,clean,4,mean,0.6441798941798944
quantile,clean,4,variance,0.09117647058823543
quantile,clean,4,kurtosis,-0.2355491329479769
quantile,clean,5,mean,0.8730964467005077
quantile,clean,5,variance,0.1941340782122906
quantile,clean,5,kurtosis,0.1124338624338624
quantile,clean,6,mean,0.76125
quantile,clean,6,variance,0.08559782608695639
quantile,clean,6,kurtosis,-0.12242268041237105
quantile,clean,7,mean,0.673469387755102
quantile,clean,7,variance,0.2166666666666666
quantile,clean,7,kurtosis,-0.08862433862433874
quantile,clean,8,mean,0.825
quantile,clean,8,variance,0.20165745856353604
quantile,clean,8,kurtosis,0.07125000000000004
quantile,clean,9,mean,0.78375
quantile,clean,9,variance,0.1625000000000001
quantile,clean,9,kurtosis,-0.15745856353591167
quantile,clean,10,mean,0.8537500000000002
quantile,clean,10,variance,0.25750000000000006
quantile,clean,10,kurtosis,-0.18750000000000003
quantile,clean,11,mean,0.8662500000000002
quantile,clean,11,variance,0.3562500000000002
quantile,clean,11,kurtosis,-0.06687898089171972
quantile,clean,12,mean,0.76
quantile,clean,12,variance,0.35250000000000004
quantile,clean,12,kurtosis,0.026685393258426893
quantile,clean,13,mean,0.7775000000000001
quantile,clean,13,variance,0.2982954545454545
quantile,clean,13,kurtosis,0.2251381215469612
quantile,clean,14,mean,0.74
quantile,clean,14,variance,0.06735751295336782
quantile,clean,14,kurtosis,0.41489361702127664
quantile,clean,15,mean,0.7775000000000001
quantile,clean,15,variance,0.1748704663212435
quantile,clean,15,kurtosis,-0.05392156862745098
quantile,clean,16,mean,0.7375
quantile,clean,16,variance,0.11340206185567021
quantile,clean,16,kurtosis,-0.069526627218935
quantile,clean,17,mean,0.8250000000000002
quantile,clean,17,variance,0.10875000000000012
quantile,clean,17,kurtosis,-0.06929347826086954
quantile,clean,18,mean,0.56
quantile,clean,18,variance,0.13988095238095233
quantile,clean,18,kurtosis,0.13430851063829785
quantile,clean,19,mean,0.65
quantile,clean,19,variance,0.14705882352941171
quantile,clean,19,kurtosis,-0.05468749999999998
quantile,clean,20,mean,0.84125
quantile,clean,20,variance,0.17319277108433712
quantile,clean,20,kurtosis,0.10751295336787567
quantile,clean,21,mean,0.895
quantile,clean,21,variance,0.2551282051282049
quantile,clean,21,kurtosis,0.07317073170731715
quantile,clean,22,mean,0.6512500000000001
quantile,clean,22,variance,0.049418604651162774
quantile,clean,22,kurtosis,-0.13343558282208587
quantile,clean,23,mean,0.6907216494845361
quantile,clean,23,variance,0.009615384615384652
quantile,clean,23,kurtosis,-0.03289473684210526
quantile,clean,24,mean,0.625
quantile,clean,24,variance,0.23697916666666666
quantile,clean,24,kurtosis,0.14248704663212425
quantile,clean,25,mean,0.6600000000000001
quantile,clean,25,variance,0.08124999999999982
quantile,clean,25,kurtosis,0.00668449197860972
quantile,clean,26,mean,0.8199999999999998
quantile,clean,26,variance,0.10427807486631006
quantile,clean,26,kurtosis,-0.03531073446327683
quantile,clean,27,mean,0.7554347826086956
quantile,clean,27,variance,0.05555555555555567
quantile,clean,27,kurtosis,-0.17296511627906969
quantile,clean,28,mean,0.7
quantile,clean,28,variance,0.13530927835051557
quantile,clean,28,kurtosis,-0.11999999999999988
quantile,clean,29,mean,0.8425
quantile,clean,29,variance,0.29000000000000004
quantile,clean,29,kurtosis,0.01718749999999991
quantile,noisy_learn,0,mean,0.5325
quantile,noisy_learn,0,variance,-0.12105263157894737
quantile,noisy_learn,0,kurtosis,0.027343750000000104
quantile,noisy_learn,1,mean,0.5837500000000002
quantile,noisy_learn,1,variance,-0.1111111111111111
quantile,noisy_learn,1,kurtosis,-0.06690140845070434
quantile,noisy_learn,2,mean,0.3968253968253967
quantile,noisy_learn,2,variance,0.13593749999999988
quantile,noisy_learn,2,kurtosis,-0.14285714285714274
quantile,noisy_learn,3,mean,0.523560209424084
quantile,noisy_learn,3,variance,-0.021505376344086037
quantile,noisy_learn,3,kurtosis,-0.02329192546583842
quantile,noisy_learn,4,mean,0.49859550561797744
quantile,noisy_learn,4,variance,-0.009562841530054685
quantile,noisy_learn,4,kurtosis,-0.24566473988439302
quantile,noisy_learn,5,mean,0.5637755102040819
quantile,noisy_learn,5,variance,0.11063218390804593
quantile,noisy_learn,5,kurtosis,0.07275132275132286
quantile,noisy_learn,6,mean,0.59375
quantile,noisy_learn,6,variance,-0.0702247191011236
quantile,noisy_learn,6,kurtosis,-0.1456185567010309
quantile,noisy_learn,7,mean,0.4629120879120877
quantile,noisy_learn,7,variance,0.08205128205128212
quantile,noisy_learn,7,kurtosis,-0.09392265193370161
