rule,learn_noise_sd,seed,d1_delta,d2_delta
quantile,2.5,0,0.7936350801019856,-0.6689927759171344
quantile,2.5,1,-0.8687835254264282,0.835900415906881
quantile,2.5,2,0.7815569463530512,3.010887657965287
quantile,2.5,3,0.1623250207724709,0.6401492272829961
quantile,2.5,4,-0.9352359744082239,0.23058588195626406
quantile,2.5,5,-1.332399989339839,-0.9497250056279922
quantile,2.5,6,0.567920441197951,-0.7509419052831792
quantile,2.5,7,-0.710969719021417,0.3280760993877889
quantile,2.5,8,-2.260981371330571,-2.232327726047963
quantile,2.5,9,-1.4035356683042082,-0.0016480619457270862
quantile,2.5,10,-0.9078002955231446,-1.0523946460482119
quantile,2.5,11,0.7537371238597981,0.18441805633952058
quantile,2.5,12,-1.3045200191319086,0.08926005709880158
quantile,2.5,13,-1.9759320103300162,-1.5135909940232688
quantile,2.5,14,-0.6704970502779357,-2.249814481949757
