shape,seed,stat,ai
uniform,86,kurtosis,0.0
uniform,87,mean,0.7956349206349205
uniform,87,variance,-0.23284313725490177
uniform,87,kurtosis,0.02836879432624116
uniform,88,mean,0.5575916230366497
uniform,88,variance,0.04107142857142865
uniform,88,kurtosis,-0.04560810810810805
uniform,89,mean,0.4899999999999996
uniform,89,variance,0.3070866141732285
uniform,89,kurtosis,-0.2853982300884955
uniform,90,mean,0.39743589743589747
uniform,90,variance,0.31210191082802574
uniform,90,kurtosis,0.13819875776397522
uniform,91,mean,0.7044198895027626
uniform,91,variance,0.005395683453237297
uniform,91,kurtosis,-0.15157480314960634
uniform,92,mean,0.5308988764044944
uniform,92,variance,0.20098039215686284
uniform,92,kurtosis,-0.21186440677966098
uniform,93,mean,0.44075144508670544
uniform,93,variance,-0.03246753246753235
uniform,93,kurtosis,0.14838709677419384
uniform,94,mean,0.4214285714285713
uniform,94,variance,-0.06076388888888883
uniform,94,kurtosis,-0.007407407407407249
uniform,95,mean,0.43586387434554974
uniform,95,variance,-0.3211009174311927
uniform,95,kurtosis,-0.28925619834710753
uniform,96,mean,0.5989932885906042
uniform,96,variance,0.31481481481481494
uniform,96,kurtosis,0.11021505376344087
uniform,97,mean,0.5526315789473684
uniform,97,variance,0.15596330275229353
uniform,97,kurtosis,-0.5625
uniform,98,mean,0.574561403508772
uniform,98,variance,0.27115384615384625
uniform,98,kurtosis,-0.1858552631578948
uniform,99,mean,0.5618421052631578
uniform,99,variance,0.14756944444444434
uniform,99,kurtosis,0.11697247706422055
bimodal,0,mean,0.5375816993464054
bimodal,0,variance,0.28125000000000017
bimodal,0,kurtosis,0.030172413793103574
bimodal,1,mean,0.6159793814432987
bimodal,1,variance,0.39285714285714296
bimodal,1,kurtosis,-0.02688172043010789
bimodal,2,mean,0.5629629629629631
bimodal,2,variance,0.06597222222222206
bimodal,2,kurtosis,-0.010416666666666711
bimodal,3,mean,0.3191176470588235
bimodal,3,variance,0.009615384615384753
bimodal,3,kurtosis,-0.03211009174311898
bimodal,4,mean,0.21428571428571427
bimodal,4,variance,0.010869565217391346
bimodal,4,kurtosis,-0.07499999999999996
bimodal,5,mean,0.6881578947368422
bimodal,5,variance,-0.06886227544910177
bimodal,5,kurtosis,0.022916666666666544
bimodal,6,mean,0.39857142857142847
bimodal,6,variance,0.09848484848484845
bimodal,6,kurtosis,0.3076923076923077
bimodal,7,mean,0.4469696969696969
bimodal,7,variance,0.12241379310344841
bimodal,7,kurtosis,0.01315789473684229
bimodal,8,mean,0.6636125654450261
bimodal,8,variance,0.09141791044776125
bimodal,8,kurtosis,0.08526011560693637
bimodal,9,mean,0.45086705202312144
bimodal,9,variance,0.16618497109826574
bimodal,9,kurtosis,-0.035714285714285754
bimodal,10,mean,0.5453296703296701
bimodal,10,variance,0.05335365853658532
bimodal,10,kurtosis,-0.006198347107438068
bimodal,11,mean,0.737421383647799
bimodal,11,variance,0.2389937106918237
bimodal,11,kurtosis,0.0
bimodal,12,mean,0.43000000000000016
bimodal,12,variance,0.22593582887700533
bimodal,12,kurtosis,0.0336538461538463
bimodal,13,mean,0.5416666666666666
bimodal,13,variance,0.18275862068965523
bimodal,13,kurtosis,0.23202614379084968
bimodal,14,mean,0.4822485207100594
bimodal,14,variance,-0.16275167785234898
bimodal,14,kurtosis,0.3309352517985612
bimodal,15,mean,0.48446327683615825
bimodal,15,variance,0.0017361111111110742
bimodal,15,kurtosis,-0.018707482993197338
bimodal,16,mean,0.3750000000000002
bimodal,16,variance,0.3486842105263159
bimodal,16,kurtosis,-0.35250000000000004
bimodal,17,mean,0.4479166666666667
bimodal,17,variance,0.2957746478873238
bimodal,17,kurtosis,-0.05369127516778529
bimodal,18,mean,0.5861581920903953
bimodal,18,variance,0.2549504950495052
bimodal,18,kurtosis,-0.0652866242038217
bimodal,19,mean,0.3982142857142855
bimodal,19,variance,0.3533333333333335
bimodal,19,kurtosis,-0.06086956521739117
bimodal,20,mean,0.42694805194805163
bimodal,20,variance,0.07627118644067786
bimodal,20,kurtosis,-0.2564935064935065
bimodal,21,mean,0.5580357142857144
bimodal,21,variance,-0.1295620437956203
bimodal,21,kurtosis,0.08152173913043498
bimodal,22,mean,0.4320652173913043
bimodal,22,variance,-0.28448275862068967
bimodal,22,kurtosis,0.045081967213114894
bimodal,23,mean,0.575
bimodal,23,variance,-0.017857142857142745
bimodal,23,kurtosis,0.15746753246753228
bimodal,24,mean,0.356534090909091
bimodal,24,variance,0.00867052023121369
bimodal,24,kurtosis,0.2562499999999994
bimodal,25,mean,0.24999999999999986
bimodal,25,variance,-0.15031645569620236
bimodal,25,kurtosis,0.006802721088435228
bimodal,26,mean,0.45705521472392635
bimodal,26,variance,-0.07677165354330723
bimodal,26,kurtosis,0.15895061728395052
bimodal,27,mean,0.6161764705882351
bimodal,27,variance,0.02293577981651409
bimodal,27,kurtosis,-0.1565420560747661
bimodal,28,mean,0.39285714285714274
bimodal,28,variance,0.02095808383233541
bimodal,28,kurtosis,-0.17916666666666653
bimodal,29,mean,0.7643979057591622
bimodal,29,variance,0.0221518987341773
bimodal,29,kurtosis,0.11458333333333336
bimodal,30,mean,0.5575000000000001
bimodal,30,variance,-0.17226890756302526
bimodal,30,kurtosis,0.08609271523178799
bimodal,31,mean,0.5597826086956521
bimodal,31,variance,0.18055555555555536
bimodal,31,kurtosis,0.1138613861386141
bimodal,32,mean,0.7005208333333333
bimodal,32,variance,0.26068376068376053
bimodal,32,kurtosis,0.20454545454545425
bimodal,33,mean,0.4025000000000003
bimodal,33,variance,0.14968152866242027
bimodal,33,kurtosis,-0.039473684210526265
bimodal,34,mean,0.5279850746268657
bimodal,34,variance,0.13729508196721307
bimodal,34,kurtosis,0.013888888888889003
bimodal,35,mean,0.2925
bimodal,35,variance,0.20034246575342465
bimodal,35,kurtosis,0.436046511627907
bimodal,36,mean,0.5181818181818185
bimodal,36,variance,-0.11309523809523796
bimodal,36,kurtosis,-0.015037593984962424
bimodal,37,mean,0.5994318181818179
bimodal,37,variance,0.024242424242424267
bimodal,37,kurtosis,0.1566901408450705
bimodal,38,mean,0.68141592920354
bimodal,38,variance,-0.08057851239669434
